                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 1.0801,                0.99296,                0.96163,                 0.9938,                      1,                  0.995,                0.58277,                 1.4019,                0.74599,                 1.0339,              0.0006734,              0.0006734,              0.0006734
                     69,                0.93672,                0.82029,                 1.0031,                0.99406,                      1,                  0.995,                0.49677,                 1.8522,                0.83844,                 1.2032,              0.0006536,              0.0006536,              0.0006536
                     70,                0.91933,                0.86605,                0.96906,                0.99449,                      1,                  0.995,                0.51801,                 1.7713,                0.82863,                 1.1825,              0.0006338,              0.0006338,              0.0006338
                     71,                0.97613,                0.84172,                0.95142,                0.99449,                      1,                  0.995,                0.51801,                 1.7713,                0.82863,                 1.1825,               0.000614,               0.000614,               0.000614
                     72,                0.89859,                0.78292,                0.98143,                0.99401,                      1,                  0.995,                0.55219,                 1.6778,                0.79575,                 1.1444,              0.0005942,              0.0005942,              0.0005942
                     73,                0.90253,                0.80429,                0.96433,                0.99456,                      1,                  0.995,                0.55149,                 1.5139,                0.77574,                 1.0725,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.0335,                0.84992,                 1.0238,                0.99456,                      1,                  0.995,                0.55149,                 1.5139,                0.77574,                 1.0725,              0.0005546,              0.0005546,              0.0005546
                     75,                0.89424,                0.78019,                 0.9261,                0.99376,                      1,                  0.995,                0.48102,                 1.7648,                0.84047,                 1.1576,              0.0005348,              0.0005348,              0.0005348
                     76,                0.99207,                0.84676,                  1.014,                0.99418,                      1,                  0.995,                0.56576,                 1.5349,                0.74632,                 1.0483,               0.000515,               0.000515,               0.000515
                     77,                0.89523,                0.75513,                0.90983,                0.99418,                      1,                  0.995,                0.56576,                 1.5349,                0.74632,                 1.0483,              0.0004952,              0.0004952,              0.0004952
                     78,                0.88514,                0.79517,                0.93847,                0.99424,                      1,                  0.995,                 0.5742,                 1.5619,                0.74747,                 1.0517,              0.0004754,              0.0004754,              0.0004754
                     79,                0.91248,                0.82096,                0.96617,                 0.9945,                      1,                  0.995,                0.59076,                 1.5142,                0.72392,                 1.0528,              0.0004556,              0.0004556,              0.0004556
                     80,                0.86671,                0.83692,                  1.012,                 0.9945,                      1,                  0.995,                0.59076,                 1.5142,                0.72392,                 1.0528,              0.0004358,              0.0004358,              0.0004358
                     81,                0.90634,                0.82625,                0.94618,                0.99469,                      1,                  0.995,                0.63029,                 1.3773,                 0.6585,                 1.0426,               0.000416,               0.000416,               0.000416
                     82,                0.90416,                  0.733,                0.93785,                0.99439,                      1,                  0.995,                0.66316,                 1.2976,                0.63549,                 1.0326,              0.0003962,              0.0003962,              0.0003962
                     83,                0.86431,                0.76378,                 0.9815,                0.99439,                      1,                  0.995,                0.66316,                 1.2976,                0.63549,                 1.0326,              0.0003764,              0.0003764,              0.0003764
                     84,                 0.9213,                0.85239,                0.96222,                0.99429,                      1,                  0.995,                0.67057,                 1.2064,                0.60789,                 1.0125,              0.0003566,              0.0003566,              0.0003566
                     85,                0.87742,                0.73689,                0.94629,                0.99445,                      1,                  0.995,                0.67031,                 1.2536,                0.58604,                 1.0148,              0.0003368,              0.0003368,              0.0003368
                     86,                  0.815,                0.82254,                 0.9418,                0.99445,                      1,                  0.995,                0.67031,                 1.2536,                0.58604,                 1.0148,               0.000317,               0.000317,               0.000317
                     87,                0.83193,                0.71811,                 0.9174,                0.99459,                      1,                  0.995,                0.63418,                 1.2744,                0.61561,                 1.0059,              0.0002972,              0.0002972,              0.0002972
                     88,                0.86164,                0.70942,                0.97205,                0.99476,                      1,                  0.995,                0.69495,                 1.0804,                0.58746,                0.97316,              0.0002774,              0.0002774,              0.0002774
                     89,                0.95588,                0.75911,                0.95989,                0.99476,                      1,                  0.995,                0.69495,                 1.0804,                0.58746,                0.97316,              0.0002576,              0.0002576,              0.0002576
                     90,                0.93186,                0.79471,                0.98988,                0.99475,                      1,                  0.995,                0.77457,                0.97766,                0.59432,                0.95175,              0.0002378,              0.0002378,              0.0002378
                     91,                0.79234,                0.73551,                0.92719,                0.99479,                      1,                  0.995,                0.77514,                0.93106,                0.62035,                0.93999,               0.000218,               0.000218,               0.000218
                     92,                0.90511,                0.76482,                0.95638,                0.99479,                      1,                  0.995,                0.77514,                0.93106,                0.62035,                0.93999,              0.0001982,              0.0001982,              0.0001982
                     93,                0.76358,                0.74103,                0.88547,                0.99471,                      1,                  0.995,                0.76582,                0.95476,                0.61556,                0.93947,              0.0001784,              0.0001784,              0.0001784
                     94,                0.69419,                0.70917,                0.90349,                0.99471,                      1,                  0.995,                0.74985,                0.98889,                0.63393,                0.94469,              0.0001586,              0.0001586,              0.0001586
                     95,                0.74834,                0.71918,                0.91376,                0.99471,                      1,                  0.995,                0.74985,                0.98889,                0.63393,                0.94469,              0.0001388,              0.0001388,              0.0001388
                     96,                0.76223,                0.71485,                0.95247,                0.99467,                      1,                  0.995,                0.71671,                 1.0201,                0.62168,                0.95246,               0.000119,               0.000119,               0.000119
                     97,                0.76753,                0.70973,                0.97616,                0.99458,                      1,                  0.995,                0.70512,                 1.0181,                0.60707,                0.95983,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.82189,                0.71666,                0.92414,                0.99458,                      1,                  0.995,                0.70512,                 1.0181,                0.60707,                0.95983,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.77126,                0.69969,                0.91823,                0.99453,                      1,                  0.995,                0.70508,                 1.0133,                0.59374,                0.95913,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.76794,                0.70576,                0.88401,                0.99458,                      1,                  0.995,                0.70342,                  1.011,                 0.6067,                0.95911,               3.98e-05,               3.98e-05,               3.98e-05
